"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"336.","The Lobster","7.2","(2015)","119 min","
Comedy, Drama, Romance            ","203,109","$100.24M","
    Director:
Yorgos Lanthimos
                 | 
    Stars:
Colin Farrell, 
Rachel Weisz, 
Jessica Barden, 
Olivia Colman
    ","
    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods."
"337.","Cowboys & Aliens","6.0","(2011)","119 min","
Action, Sci-Fi, Thriller            ","202,483","$46.00M","
    Director:
Jon Favreau
                 | 
    Stars:
Daniel Craig, 
Harrison Ford, 
Olivia Wilde, 
Abigail Spencer
    ","
    A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
"338.","Gangster Squad","6.7","(2013)","113 min","
Action, Crime, Drama            ","201,784","$159.56M","
    Director:
Ruben Fleischer
                 | 
    Stars:
Sean Penn, 
Ryan Gosling, 
Emma Stone, 
Giovanni Ribisi
    ","
    It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city."
"339.","Fantastic Beasts: The Crimes of Grindelwald","6.6","(2018)","134 min","
Adventure, Family, Fantasy            ","201,018","$162.43M","
    Director:
David Yates
                 | 
    Stars:
Eddie Redmayne, 
Katherine Waterston, 
Dan Fogler, 
Johnny Depp
    ","
    The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander."
"340.","Jason Bourne","6.6","(I) (2016)","123 min","
Action, Thriller            ","200,636","$51.74M","
    Director:
Paul Greengrass
                 | 
    Stars:
Matt Damon, 
Tommy Lee Jones, 
Alicia Vikander, 
Vincent Cassel
    ","
    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."
"341.","Lion","8.0","(2016)","118 min","
Biography, Drama            ","200,481","$73.10M","
    Director:
Garth Davis
                 | 
    Stars:
Dev Patel, 
Nicole Kidman, 
Rooney Mara, 
Sunny Pawar
    ","
    A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
"342.","White House Down","6.4","(2013)","131 min","
Action, Drama, Thriller            ","200,362","$143.62M","
    Director:
Roland Emmerich
                 | 
    Stars:
Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke
    ","
    While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
"343.","Rio","6.9","(2011)","96 min","
Animation, Adventure, Comedy            ","199,695","$126.37M","
    Director:
Carlos Saldanha
                 | 
    Stars:
Jesse Eisenberg, 
Anne Hathaway, 
George Lopez, 
Karen Disher
    ","
    When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
"344.","Safe House","6.7","(2012)","115 min","
Action, Thriller            ","199,231","$14.67M","
    Director:
Daniel Espinosa
                 | 
    Stars:
Denzel Washington, 
Ryan Reynolds, 
Robert Patrick, 
Vera Farmiga
    ","
    A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
"345.","It Follows","6.8","(2014)","100 min","
Horror, Mystery, Thriller            ","198,319","$57.01M","
    Director:
David Robert Mitchell
                 | 
    Stars:
Maika Monroe, 
Keir Gilchrist, 
Olivia Luccardi, 
Lili Sepe
    ","
    A young woman is followed by an unknown supernatural force after a sexual encounter."
"346.","American Reunion","6.7","(2012)","113 min","
Comedy            ","197,913","$102.83M","
    Directors:
Jon Hurwitz, 
Hayden Schlossberg
                 | 
    Stars:
Jason Biggs, 
Alyson Hannigan, 
Seann William Scott, 
Chris Klein
    ","
    Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
"347.","Murder on the Orient Express","6.5","(2017)","114 min","
Crime, Drama, Mystery            ","197,357","$128.34M","
    Director:
Kenneth Branagh
                 | 
    Stars:
Kenneth Branagh, 
Pen¨¦lope Cruz, 
Willem Dafoe, 
Judi Dench
    ","
    When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
"348.","Ghostbusters","5.2","(2016)","116 min","
Action, Comedy, Fantasy            ","196,948","$175.08M","
    Director:
Paul Feig
                 | 
    Stars:
Melissa McCarthy, 
Kristen Wiig, 
Kate McKinnon, 
Leslie Jones
    ","
    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
"349.","Us","6.9","(II) (2019)","116 min","
Horror, Mystery, Thriller            ","196,924","$191.20M","
    Director:
Jordan Peele
                 | 
    Stars:
Lupita Nyong'o, 
Winston Duke, 
Elisabeth Moss, 
Tim Heidecker
    ","
    A family's serene beach vacation turns to chaos when their doppelg<U+00E4>ngers appear and begin to terrorize them."
"350.","Teenage Mutant Ninja Turtles","5.8","(2014)","101 min","
Action, Adventure, Comedy            ","196,770","$174.34M","
    Director:
Jonathan Liebesman
                 | 
    Stars:
Megan Fox, 
Will Arnett, 
William Fichtner, 
Noel Fisher
    ","
    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
"351.","Life","6.6","(I) (2017)","104 min","
Horror, Sci-Fi, Thriller            ","196,752","$30.23M","
    Director:
Daniel Espinosa
                 | 
    Stars:
Jake Gyllenhaal, 
Rebecca Ferguson, 
Ryan Reynolds, 
Hiroyuki Sanada
    ","
    A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth."
"352.","Oz the Great and Powerful","6.3","(2013)","130 min","
Adventure, Family, Fantasy            ","195,986","$234.91M","
    Director:
Sam Raimi
                 | 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
    ","
    A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers."
"353.","The Purge","5.7","(I) (2013)","85 min","
Horror, Thriller            ","195,347","$64.47M","
    Director:
James DeMonaco
                 | 
    Stars:
Ethan Hawke, 
Lena Headey, 
Max Burkholder, 
Adelaide Kane
    ","
    A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal."
"354.","Pain & Gain","6.4","(2013)","129 min","
Action, Comedy, Crime            ","195,345","$49.88M","
    Director:
Michael Bay
                 | 
    Stars:
Mark Wahlberg, 
Dwayne Johnson, 
Anthony Mackie, 
Tony Shalhoub
    ","
    A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong."
"355.","The Fate of the Furious","6.7","(2017)","136 min","
Action, Adventure, Crime            ","195,113","$226.01M","
    Director:
F. Gary Gray
                 | 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
    ","
    When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
"356.","Me Before You","7.4","(2016)","106 min","
Drama, Romance            ","193,976","$56.25M","
    Director:
Thea Sharrock
                 | 
    Stars:
Emilia Clarke, 
Sam Claflin, 
Janet McTeer, 
Charles Dance
    ","
    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of."
"357.","A Good Day to Die Hard","5.3","(2013)","98 min","
Action, Thriller            ","193,793","$67.35M","
    Director:
John Moore
                 | 
    Stars:
Bruce Willis, 
Jai Courtney, 
Sebastian Koch, 
Mary Elizabeth Winstead
    ","
    John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces."
"358.","Hell or High Water","7.6","(II) (2016)","102 min","
Action, Crime, Drama            ","192,572","$26.86M","
    Director:
David Mackenzie
                 | 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
    ","
    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
"359.","Hansel & Gretel: Witch Hunters","6.1","(2013)","88 min","
Action, Fantasy, Horror            ","190,235","$55.70M","
    Director:
Tommy Wirkola
                 | 
    Stars:
Jeremy Renner, 
Gemma Arterton, 
Peter Stormare, 
Famke Janssen
    ","
    Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past."
"360.","Everest","7.1","(2015)","121 min","
Action, Adventure, Biography            ","189,890","$43.48M","
    Director:
Baltasar Korm¨¢kur
                 | 
    Stars:
Jason Clarke, 
Ang Phula Sherpa, 
Thomas M. Wright, 
Martin Henderson
    ","
    The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
"361.","Glass","6.7","(2019)","129 min","
Drama, Sci-Fi, Thriller            ","189,887","$111.05M","
    Director:
M. Night Shyamalan
                 | 
    Stars:
James McAvoy, 
Bruce Willis, 
Samuel L. Jackson, 
Anya Taylor-Joy
    ","
    Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
"362.","2 Guns","6.7","(2013)","109 min","
Action, Comedy, Thriller            ","189,424","$75.61M","
    Director:
Baltasar Korm¨¢kur
                 | 
    Stars:
Denzel Washington, 
Mark Wahlberg, 
Paula Patton, 
Bill Paxton
    ","
    Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
"363.","Game Night","6.9","(I) (2018)","100 min","
Action, Comedy, Crime            ","189,256","$69.18M","
    Directors:
John Francis Daley, 
Jonathan Goldstein
                 | 
    Stars:
Jason Bateman, 
Rachel McAdams, 
Kyle Chandler, 
Sharon Horgan
    ","
    A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters."
"364.","The Impossible","7.6","(2012)","114 min","
Drama, History, Thriller            ","188,849","$19.02M","
    Director:
J.A. Bayona
                 | 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
    ","
    The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami."
"365.","Call Me by Your Name","7.9","(2017)","132 min","
Drama, Romance            ","188,665","$18.10M","
    Director:
Luca Guadagnino
                 | 
    Stars:
Armie Hammer, 
Timoth¨¦e Chalamet, 
Michael Stuhlbarg, 
Amira Casar
    ","
    In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
"366.","Wind River","7.7","(2017)","107 min","
Crime, Drama, Mystery            ","188,519","$33.80M","
    Director:
Taylor Sheridan
                 | 
    Stars:
Kelsey Asbille, 
Jeremy Renner, 
Julia Jones, 
Teo Briones
    ","
    A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation."
"367.","Ghost in the Shell","6.3","(2017)","107 min","
Action, Crime, Drama            ","188,434","$40.56M","
    Director:
Rupert Sanders
                 | 
    Stars:
Scarlett Johansson, 
Pilou Asb<U+00E6>k, 
Takeshi Kitano, 
Juliette Binoche
    ","
    In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
"368.","The Lion King","6.9","(2019)","118 min","
Animation, Adventure, Drama            ","188,345","$543.64M","
    Director:
Jon Favreau
                 | 
    Stars:
Donald Glover, 
Beyonc¨¦, 
Seth Rogen, 
Chiwetel Ejiofor
    ","
    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
